parameter,value,unit
employee_population,400000,people
affected_visit_share,0.16,proportion
delay_minutes,5,minutes
improvement_capture,0.65,proportion
hourly_cost,26,GBP/hour
support_contact_rate,0.025,proportion
ticket_cost,12,GBP/contact
prevented_exits,12,people/year
median_salary,39039,GBP/year
replacement_cost_share,0.33,proportion
legal_risk_reduction,60000,GBP/year
avoided_rework,35000,GBP/year
issue_count,137,issues
triage_hours_per_issue,1.5,hours
consultant_rate,75,GBP/hour
development_hours_per_issue,5.5,hours
developer_rate,65,GBP/hour
qa_hours_per_issue,2.5,hours
qa_rate,55,GBP/hour
user_research_cost,30000,GBP
design_system_cost,72000,GBP
training_change_cost,70000,GBP
contingency_rate,0.20,proportion
annual_governance_cost,95000,GBP/year
horizon_years,3,years
discount_rate,0.035,proportion
